Adlm,166,Adlam,Adlam,R-to-L,9.0,88,
Afak,439,Afaka,,Varies,,,"Not in Unicode, proposal under review by the Unicode Technical Committee[8][9]"
Aghb,239,Caucasian Albanian,Caucasian Albanian,L-to-R,7.0,53,Ancient/historic
Ahom,338,"Ahom, Tai Ahom",Ahom,L-to-R,8.0,58,Ancient/historic
Arab,160,Arabic,Arabic,R-to-L,1.0,"1,281",
Aran,161,Arabic (Nastaliq variant),,R-to-L,,,Typographic variant of Arabic
Armi,124,Imperial Aramaic,Imperial Aramaic,R-to-L,5.2,31,Ancient/historic
Armn,230,Armenian,Armenian,L-to-R,1.0,95,
Avst,134,Avestan,Avestan,R-to-L,5.2,61,Ancient/historic
Bali,360,Balinese,Balinese,L-to-R,5.0,121,
Bamu,435,Bamum,Bamum,L-to-R,5.2,657,
Bass,259,Bassa Vah,Bassa Vah,L-to-R,7.0,36,Ancient/historic
Batk,365,Batak,Batak,L-to-R,6.0,56,
Beng,325,Bengali (Bangla),Bengali,L-to-R,1.0,96,
Bhks,334,Bhaiksuki,Bhaiksuki,L-to-R,9.0,97,Ancient/historic
Blis,550,Blissymbols,,Varies,,,"Not in Unicode, proposal in initial/exploratory stage[8]"
Bopo,285,Bopomofo,Bopomofo,L-to-R,1.0,72,
Brah,300,Brahmi,Brahmi,L-to-R,6.0,109,Ancient/historic
Brai,570,Braille,Braille,L-to-R,3.0,256,
Bugi,367,Buginese,Buginese,L-to-R,4.1,30,
Buhd,372,Buhid,Buhid,L-to-R,3.2,20,
Cakm,349,Chakma,Chakma,L-to-R,6.1,70,
Cans,440,Unified Canadian Aboriginal Syllabics,Canadian Aboriginal,L-to-R,3.0,710,
Cari,201,Carian,Carian,L-to-R,5.1,49,Ancient/historic
Cham,358,Cham,Cham,L-to-R,5.1,83,
Cher,445,Cherokee,Cherokee,L-to-R,3.0,172,
Chrs,109,Chorasmian,,R-to-L,,,Not in Unicode
Cirt,291,Cirth,,Varies,,,Not in Unicode
Copt,204,Coptic,Coptic,L-to-R,1.0,137,"Ancient/historic, Disunified from Greek in 4.1"
Cpmn,402,Cypro-Minoan,,L-to-R,,,Not in Unicode
Cprt,403,Cypriot syllabary,Cypriot,R-to-L,4.0,55,Ancient/historic
Cyrl,220,Cyrillic,Cyrillic,L-to-R,1.0,443,
Cyrs,221,Cyrillic (Old Church Slavonic variant),,Varies,,,"Ancient/historic, typographic variant of Cyrillic"
Deva,315,Devanagari (Nagari),Devanagari,L-to-R,1.0,154,
Diak,342,Dives Akuru,,L-to-R,,,Not in Unicode
Dogr,328,Dogra,Dogra,L-to-R,11.0,60,Ancient/historic
Dsrt,250,Deseret (Mormon),Deseret,L-to-R,3.1,80,
Dupl,755,"Duployan shorthand, Duployan stenography",Duployan,L-to-R,7.0,143,
Egyd,070,Egyptian demotic,,R-to-L,,,Not in Unicode
Egyh,060,Egyptian hieratic,,R-to-L,,,Not in Unicode
